Korean,English
집중하다,to concentrate; to focus
짚다,to lean on (a cane); to feel (pulse); to point out
짜다,to knit; to weave; to squeeze (out)
짜증스럽다,to be irritating; to be annoying
짝,pair; partner; mate
쩔쩔매다,to be at a loss; to flounder
쪽,piece; slice; part
쫓겨나다,to be kicked out; to be expelled
쫓기다,to be chased; to be pressed
쫓다,to chase; to drive away
쭉,straight; all the way; continuously
찌꺼기,dregs; residue; leftovers
찌다,to steam (food); to gain (weight)
찍히다,to be stamped; to be photographed
찢다,to tear; to rip
찢어지다,to be torn; to rip (apart)
차,time; occasion (次); tea
차다,to be full; to wear (a watch); to kick
차라리,rather; sooner (than)
차량,vehicle; vehicles
차림,attire; outfit; dress
차마,(cannot) bear to; (not) for the life of me
차별,discrimination
차선,traffic lane
차이점,difference; point of difference
차차,gradually; little by little
차창,car window; train window
차츰,gradually; step by step
착각,illusion; delusion; mistaken idea
착각하다,to mistake; to be under an illusion
찬성,approval; agreement; being in favor
찬성하다,to approve; to agree; to be in favor
참,the moment of; on the point of
참가,participation; entry
참고하다,to refer to; to consult
참되다,to be true; to be genuine
참새,sparrow
참석,attendance; presence
참석자,attendee; participant
참여,participation; involvement
참여하다,to participate; to take part
참외,Korean melon
참으로,truly; indeed; really
참조,reference; cross-reference
창,window
창가,windowside; by the window
창구,(service) window; counter
창작,creation; creative work
창조,creation
창조적,creative
창조하다,to create
창피하다,to be embarrassing; to be ashamed
찾아다니다,to go around looking for; to search around
채,counter for houses; just as it is; not yet (fully)
채점,grading; scoring; marking
책임감,sense of responsibility
책임지다,to take responsibility
처녀,unmarried woman; maiden; virgin
처리,handling; processing; disposal
처벌,punishment; penalty
처지,situation; circumstances; plight
척,pretense; counter for ships
척하다,to pretend to; to act as if
천,cloth; fabric
천국,heaven; paradise
천둥,thunder
천장,ceiling
천재,genius
철,sense; maturity; iron (鐵)
철도,railroad; railway
철저하다,to be thorough
철저히,thoroughly
철학,philosophy
철학자,philosopher
철학적,philosophical
청춘,youth; springtime of life
청하다,to request; to ask (a favor)
체계적,systematic
체력,physical strength; stamina
체온,body temperature
체육관,gymnasium; gym
체조,gymnastics
체하다,to pretend to; to feign
체험,(firsthand) experience
체험하다,to experience (firsthand)
초기,early stage; initial period
초대,first generation; founding (president)
초등학생,elementary school student
초반,early phase; beginning stage
초상화,portrait
초순,first ten days (of a month)
초여름,early summer
초원,grassland; meadow; prairie
초저녁,early evening
초점,focus; focal point
초조하다,to be anxious; to be nervous
초청,invitation
초청하다,to invite
촌스럽다,to be unfashionable; to be countrified
촛불,candlelight; candle flame
총,gun; total (attributive)
총각,bachelor; unmarried man
총리,prime minister
최고급,highest grade; top class
최대한,maximum; to the utmost
최상,the best; the highest
최소,minimum; smallest
최신,the latest; newest
최악,the worst
최저,the lowest; minimum
최종,final; last
최후,the last; the end; final moment
추가,addition; supplement
추가되다,to be added
추가하다,to add
추석,Chuseok; Korean harvest festival
추진,pushing forward; promotion (of project)
추진하다,to push forward; to propel
추천,recommendation
추천하다,to recommend
추측,guess; conjecture
축구장,soccer field
축소,reduction; downsizing
출국,departure from a country
출발점,starting point
출산,childbirth
출석하다,to attend; to be present
출신,origin; background (hometown/school)
출연,appearance (on TV/stage)
출입국,immigration; entry and exit (of country)
출퇴근,commuting (to work)
출판,publishing; publication
출판사,publishing house; publisher
출현하다,to appear; to emerge
충격적,shocking
충고,advice; admonition
충돌,collision; clash
충돌하다,to collide; to clash
취업,employment; getting a job
취재,news coverage; reporting
취향,taste; preference
치다,to strike (storm); to put up (net); to reckon
치료법,treatment method; cure
치르다,to pay; to undergo (event)
치아,tooth (formal); teeth
치우다,to finish off (auxiliary); to do away with
친정,married woman's parents' home
친해지다,to become close (friends)
칠하다,to paint; to coat
침,saliva; spit
침묵,silence
침착하다,to be calm; to be composed
칭찬하다,to praise; to compliment
칸,compartment; section; cell (space)
칼국수,knife-cut noodle soup; kalguksu
캄캄하다,to be pitch-dark
캐릭터,character
캠페인,campaign
컨디션,condition (physical); shape
컬러,color
케첩,ketchup
코끝,tip of the nose
코드,code
코미디,comedy
코스,course; route
코스모스,cosmos (flower)
코치,coach
코트,court (sports)
쾌감,pleasure; pleasant feeling
쿠데타,coup; coup d'etat
크림,cream
큰딸,eldest daughter
큰아들,eldest son
큰아버지,uncle (father's older brother)
큰어머니,aunt (father's older brother's wife)
큰절,deep formal bow
클래식,classical music; classic
클럽,club
키스,kiss
타고나다,to be born with (talent)
타다,to burn; to mix in (liquid); to receive (pay)
타락,corruption; depravity
타오르다,to blaze up; to flare up
타입,type
타자기,typewriter
탁,with a bang; with a snap
탁구,table tennis; ping-pong
탁월하다,to be outstanding; to be excellent
탁자,table
탄생,birth
탄생하다,to be born; to come into being
탈출하다,to escape
탓,fault; blame
태아,fetus; unborn baby
택하다,to choose; to select
터,site; lot; ground
터지다,to burst; to explode
턱,reason; cause (bound noun)
텅,completely (empty); utterly (empty)
테러,terrorism; terror attack
텍스트,text
토대,foundation; basis
토론자,debater; panelist
토론하다,to debate; to discuss
토론회,debate; discussion forum
토하다,to vomit; to throw up
통계,statistics
통과,passing (through); passage
통과하다,to pass (through/exam)
통로,passage; aisle; corridor
통역,interpretation (spoken); interpreting
통일하다,to unify
통제,control; regulation
통증,pain; ache
통합,integration; unification
통화,phone call; currency
퇴원,discharge from hospital
퇴원하다,to be discharged (hospital)
퇴직금,retirement pay; severance pay
투명하다,to be transparent
투자,investment
투표,vote; voting
튀기다,to splash; to deep-fry
튀김,deep-fried food; fritter
튀다,to bounce; to splash; to stand out
튀어나오다,to stick out; to pop out
트럭,truck
트이다,to open up; to be cleared
특급,top grade; special class
특성,characteristic; distinct quality
특수,special; particular
특수성,distinctiveness; special quality
특이하다,to be unusual; to be peculiar
특정하다,to be specific; particular
튼튼히,sturdily; solidly; firmly
틀,frame; mold; framework
틀림없이,without fail; certainly; surely
틈,gap; crack; spare moment
파괴하다,to destroy; to demolish
파다,to dig
파악하다,to grasp; to understand; to figure out
파출소,police substation; police box
판,scene (situation); round (of a game); board; edition (of a book)
판결,court ruling; verdict; judgment
판단하다,to judge; to decide
판매되다,to be sold
판사,judge (profession)
팝송,pop song
팩스,fax
팩시밀리,facsimile; fax machine
퍼지다,to spread; to spread out
퍽,very; quite; considerably
페인트,paint
펴내다,to publish; to put out (a book)
편,side; team; means of transport
편견,prejudice; bias
편의,convenience
편의점,convenience store
평,pyeong (unit of area); review; comment
평가,evaluation; assessment
평가되다,to be evaluated; to be assessed
평가하다,to evaluate; to assess
평균,average; mean
평상시,ordinary times; usually
평양,Pyongyang
평화롭다,to be peaceful
폐지,abolition; abolishment
포근하다,to be cozy; snug; mild (weather)
포인트,point; points
포장마차,street food stall; covered food cart
포크,fork
포함,inclusion; including
폭넓다,to be wide-ranging; broad
폭력,violence
표,table; chart
표면,surface
표시,indication; mark; sign
표시하다,to mark; to indicate
표준,standard
표현되다,to be expressed
푸다,to scoop; to ladle
풀어지다,to come loose; to be untied
품,fit (of clothing); breast; embrace
품다,to embrace; to harbor (feelings)
품목,item; commodity
품질,quality (of goods)
풍부하다,to be abundant; rich; plentiful
풍속,customs; folkways
풍습,customs; traditions
프린터,printer
피곤,fatigue; tiredness
피디,PD; producer
피망,bell pepper
피하다,to avoid; to evade
피해,damage; harm
피해자,victim
필수,necessity; requirement; essential
필수적,essential; indispensable
필연적,inevitable; necessary
필요성,necessity; need
필자,writer; author (of this text)
핑계,excuse; pretext
하,lower; bottom (rank)
하긴,indeed; come to think of it
하나님,God (Protestant)
하나하나,one by one; each and every
하느님,God; Heaven
하도,so much; so very (that)
하드웨어,hardware
하룻밤,one night; overnight
하반기,second half of the year
하순,last third of the month
하천,river; stream
하필,of all things; why on earth
학과,academic department; major
학교생활,school life
학급,class (group of students)
학력,educational background; academic credentials
학번,student ID number; class year
학부모,parents of students
학비,tuition; school expenses
학술,academics; scholarly research
학용품,school supplies
학위,academic degree
학자,scholar
학점,course credit; grade (college)
한,deep sorrow; resentment; limit
한가운데,the very middle; center
한가하다,to be free; leisurely; not busy
한겨울,midwinter
한결,much more; noticeably
한계,limit; limitation
한구석,one corner
한글날,Hangul Day
한낮,midday; high noon
한눈,a glance; at first sight
한데,but; however
한때,at one time; once; for a while
한마디,a word; a single remark
한문,classical Chinese writing
한반도,Korean Peninsula
한밤중,middle of the night; midnight
한순간,an instant; a moment
한식,Korean food; Korean cuisine
한여름,midsummer
한정되다,to be limited; to be restricted
한정하다,to limit; to restrict
한창,at its peak; in full swing
한층,even more; all the more
한평생,one's whole life; a lifetime
한하다,to be limited to; to apply only to
함께하다,to be together; to share (with)
합격하다,to pass (an exam); to be accepted
합리적,rational; reasonable
합하다,to combine; to join; to unite
항공,aviation; air travel
항공기,aircraft; airplane
항구,port; harbor
항의,protest; complaint
해,harm; damage
해결되다,to be solved; to be resolved
해군,navy
해내다,to accomplish; to pull off
해답,answer; solution
해당,relevant; corresponding; applicable
해당되다,to be applicable; to fall under
해당하다,to correspond to; to be applicable
해롭다,to be harmful
해물,seafood
해석,interpretation; analysis
해석하다,to interpret; to analyze
해설,commentary; explanation
해소,relief; resolution; elimination
해소하다,to relieve; to resolve
해수욕장,swimming beach; beach resort
해안,coast; seashore
핵,nucleus; nuclear; core
핵심,core; key point; essence
핸드백,handbag
햄,ham
행사,exercise (of rights); use (of power)
행운,good luck; fortune
행위,act; deed; conduct
행하다,to perform; to carry out
행해지다,to be carried out; to be performed
향,incense; fragrance; scent
향상,improvement; advancement
향상되다,to improve; to be enhanced
허가,permission; approval; license
허락,permission; consent
허락하다,to permit; to allow; to consent
허용,allowance; permission; tolerance
허용되다,to be allowed; to be permitted
허허,haha (hearty laugh); ho ho
헤매다,to wander; to roam; to be lost
헤아리다,to count; to estimate; to fathom
헬기,helicopter
현,current; present; incumbent
현관문,front door; entrance door
현대인,modern person; modern people
현대적,modern; contemporary
현상,phenomenon
현실,reality; actuality
현실적,realistic; practical
현장,site; scene; field
혈액,blood
협력,cooperation; collaboration
형,type; model; pattern
형사,detective (police)
형성,formation
형성되다,to be formed; to take shape
형성하다,to form; to shape
형수,older brother's wife; sister-in-law
형식,form; format; formality
형식적,formal; perfunctory
형태,form; shape
형편,circumstances; (financial) situation
혜택,benefit; perk
호기심,curiosity
호남,Honam (SW Korea region)
호박,pumpkin; squash
호실,room number; room (suffix)
호주머니,pocket
호흡,breathing; breath; respiration
혹시,perhaps; by any chance
혼나다,to get scolded; to have a hard time
혼잣말,talking to oneself; monologue
홀로,alone; by oneself
홍보,publicity; promotion; PR
홍수,flood
화면,screen; picture; image
화살,arrow
화장,makeup
화장지,toilet paper; tissue
화재,fire (disaster)
화제,topic (of conversation)
화학,chemistry
확,suddenly; all at once; sharply
확립하다,to establish (firmly)
확보,securing; obtaining; guarantee
확산되다,to spread; to be diffused
확신,conviction; certainty; confidence
확신하다,to be convinced; to be sure of
확인되다,to be confirmed; to be verified
확장,expansion; extension
확정,confirmation; finalization
환경오염,environmental pollution
환영하다,to welcome
환율,exchange rate
환하다,to be bright; to be light
활기,vigor; liveliness; energy
활발해지다,to become active; to become lively
활발히,actively; briskly
활용,utilization; practical use
활짝,wide open; in full bloom
회,times (counter); round
회견,interview (press); conference
회관,hall; assembly hall
회복,recovery; restoration
회복되다,to recover; to be restored
회의,skepticism; doubt
회전,rotation; turning
횟수,number of times; frequency
효과적,effective
효도,filial piety
효도하다,to show filial piety
효율적,efficient
효자,devoted son; filial son
후기,latter period; second half
후반,second half; latter half
후보,candidate
후회,regret
훈련,training; drill
훔치다,to steal
휴식,rest; break
흉내,imitation; mimicry
흐려지다,to become cloudy; to blur
흐름,flow; current; stream
흐리다,to muddy; to make cloudy
흑백,black and white
흑인,Black person
흔들리다,to shake; to sway
흔적,trace; mark; vestige
흔하다,to be common
흘러내리다,to flow down; to run down
흥미롭다,to be interesting
흥분,excitement; agitation
흥분하다,to get excited
흩어지다,to scatter; to disperse
희곡,play (drama); drama script
희망하다,to hope; to wish
희생,sacrifice
희생하다,to sacrifice
힘겹다,to be arduous; to be a struggle
힘껏,with all one's strength
힘들어하다,to struggle; to have a hard time
힘쓰다,to strive; to make an effort
힘없이,feebly; listlessly
힘차다,to be vigorous; to be energetic
