English,Definition
summit,a meeting of top leaders; the highest point of a mountain
super,extremely good; very large or extra
superior,better than others; a person of higher rank at work
supermarket,a large shop selling food and household goods
supervise,to watch over people or work and check it is done well
supervision,close control and guidance of people while they do a job
supervisor,a person in charge of workers and what they do
supervisory,having the duty of checking the work of others
supposedly,as people claim though it may not be true
suppress,to stop something by force; to keep news from the public
surge,a sudden large rise; to move forward quickly
surplus,an amount left over after all needs are met
surrender,to stop fighting and give control to an enemy; to hand over
surveillance,close watching of a person or place for security
suspicion,a feeling that something is wrong or that someone is guilty
suspicious,feeling that something may be wrong; seeming dishonest
sustainability,the quality of not using up resources that cannot be replaced
sustainable,able to continue for a long time without harming nature
swap,to give one thing and get another in return; an exchange deal
swell,to grow larger in size or number
swiftly,very quickly
sympathy,a feeling of care for someone who is suffering
syndicate,a group of firms or people joined to do business together
synergy,the extra gain when two groups work together
synthetic,made by a chemical process rather than found in nature
systematic,done in an orderly and carefully planned way
tactic,a planned action used to reach a goal
tactical,planned carefully to gain a short-term advantage
tag,a small label fixed to an object; to add a label
tailor,to change something to fit a need; a person who makes clothes
takeover,the act of gaining control of a company
tangible,real and able to be touched; clear and certain
tariff,a government charge on goods entering a country; a price list
taxable,on which money must be paid to the government
taxation,the collecting of money by a government from people and firms
taxpayer,a person or firm that must give money to the government by law
tech,the making and use of computers and modern machines
technically,according to the exact rules or facts; in a skilled way
technological,relating to modern machines and science in industry
telecom,the business of sending messages by phone and internet
telecommunication,the sending of messages over long distances by phone or radio
template,a ready-made pattern used as a guide for making copies
temporarily,for a short period only
tempt,to make someone want to do or have something
tenant,a person who pays rent to live in or use a place
tenure,the right to hold a job or land for a period
terminal,a building where journeys begin or end; certain to cause death
terminate,to bring something to an end; to end a contract
termination,the formal ending of a contract or a job
terror,very great fear; violence used to frighten people
terrorism,the use of violence to frighten people for political aims
testify,to state facts in a court of law
testimony,a formal statement of facts given in a court
textbook,a printed work that teaches the main facts of a subject to students
textile,cloth or woven fabric; the industry that makes cloth
theft,the crime of taking something that is not yours
thereafter,from that moment on
thereby,as a result of that; through that means
thorough,complete and careful in every detail
thoroughly,completely and with great care
threshold,the level at which something begins to happen; a doorway
thrive,to grow strongly and do very well
thumb,the short thick finger at the side of the hand
tick,a small mark showing that something is correct; a light clock sound
tide,the regular rise and fall of the sea; a general trend
tier,one level in a set of levels placed one above another
tighten,to make firmer or stricter; to close more firmly
timber,wood cut and prepared for building
timely,happening at a good or useful moment
timetable,a list of the hours when trains or events happen
tobacco,dried leaves smoked in cigarettes and pipes
tolerance,willingness to accept views you dislike; an allowed small variation
tolerate,to accept something you do not like without complaining
toll,money paid to use a road or bridge; the number of dead or injured
ton,a heavy unit of weight of roughly 1000 kilograms
tonne,a metric unit of weight equal to 1000 kilograms
tort,a wrongful act causing harm that can lead to a legal claim
torture,to cause great pain in order to punish or force information
trademark,a name or sign that only one company may put on its goods
trader,a person who buys and sells goods or shares for profit
traditionally,in the way that has been usual for a long period
trainee,a person who is learning to do a job at a firm
trait,a particular quality in the character of a person
tranche,one part of a larger sum of money or of a loan
transaction,a single act of buying or selling
transformation,a complete change in the form or nature of something
transit,the movement of goods or people from one place to another
translation,words changed from one language into another
transmission,the sending of signals or of a disease to others
transmit,to send out signals; to pass a disease to others
transparency,openness that lets people see how things are done
transparent,easy to see through; open and honest
traveler,a person who goes on a journey
treasury,the government department that manages public money
treaty,a formal written agreement between countries
tremendous,very large in amount; very good
tribal,relating to an old local group with its own customs and chief
tribe,a group of people with the same customs led by a chief
tribunal,a special court that settles disputes
tricky,difficult to do and needing care
trim,to cut a small amount off; to reduce costs a little
triple,three times as much; to grow three times bigger
triumph,a great victory or success
trustee,a person who looks after money or property for others
tumble,to fall suddenly and steeply
tunnel,a passage dug under the ground or through a hill
tuple,an ordered list of values used in computing
turmoil,a state of great confusion and trouble
turnover,the total money a business takes in; the rate at which staff leave
ultimate,final; the best or greatest of its kind
unauthorized,done without official permission
uncertain,not known or not fully sure
unchanged,staying exactly the same as before
uncover,to find out something hidden; to remove a lid or top
underestimate,to think something is smaller or weaker than it really is
underground,below the surface of the earth; hidden and secret
undermine,to weaken something slowly and secretly
underpin,to support something and form its base
undervalue,to think something is worth less than it really is
underwrite,to accept the risk of a deal and agree to pay any loss
underwriter,a person or firm that takes on risk in insurance or shares
undoubtedly,certainly; without any question
unemployed,without a paid job
unexpected,not thought likely to happen; surprising
unexpectedly,in a way nobody thought likely; surprisingly
unfair,not right or equal in the way people are treated
unfavorable,not good; showing dislike or disapproval
unhappy,sad; not pleased
unify,to join separate parts into a single whole
unity,the state of being joined together as one whole
unlimited,having no fixed maximum amount
unnecessary,not needed
unpaid,still owed and not yet settled; done without wages
unpopular,not liked by many people
unprecedented,never having happened before
unpredictable,changing often so nobody can say what will happen
unrelated,having no connection with something else
unsecured,not backed by property that a lender could take
unusually,more than is normal; in a strange way
unveil,to show something new to the public for the first time
unwilling,refusing to do something; not ready to agree
upgrade,to improve something to a higher or better level
upward,moving or pointing to a higher level
uranium,a heavy metal used as fuel in nuclear power
urgent,needing action at once
usage,how much of something is consumed; the normal way words work in speech
utility,a firm supplying water gas or power; the quality of being helpful
utilization,how much of a resource is actually put to work
utilize,to put something to practical work
vacation,a period away from work for rest and travel
vaccine,a substance given to protect a person against a disease
vague,not clear or exact in meaning
valid,legally acceptable and able to be used; based on good reasons
validity,how far something can be accepted as true or lawful
valuation,an expert judgment of what something is worth
variability,the tendency to change or differ from one moment to another
variance,the amount by which two figures differ; a formal disagreement
vector,a quantity having both size and direction; a carrier of disease
vendor,a person or firm that sells goods or services
verbal,spoken rather than written
verdict,the decision of a court or jury; a considered judgment
verify,to check that something is true or correct
vertical,going straight up and down
vest,to give a person a legal right or power; a top with no sleeves
veto,to refuse to allow a plan or law; the right to block a decision
viable,able to work well and succeed
viewer,a person who watches television or looks at a screen
violate,to break a rule or law; to treat with disrespect
violation,the breaking of a rule or a law
virtual,made by computer and not physical; almost complete
virtue,a good moral quality; an advantage of something
visa,an official mark in a passport allowing entry to a country
void,having no legal force; a large empty space
volatile,likely to change quickly and without warning
volatility,the tendency of prices to change quickly and often
voucher,a paper that can be exchanged for goods or a service
vow,to promise something seriously; a serious promise
vulnerable,easily harmed or open to attack
warehouse,a large building where goods are stored
warrant,to make something seem right and needed; an official court order
warranty,a written promise to repair or replace faulty goods
wary,careful because of possible danger
weaken,to become or make less strong
wheat,a grain used to make flour and bread
whereby,through which something is done or arranged
wholesale,supplying goods in large amounts to shops rather than the public
wholesaler,a firm that supplies goods in bulk to shops
wholly,completely; entirely
widen,to make or become broader
widespread,found in many places or among many people
willingness,being ready and glad to do what is needed
wireless,working by radio signals without cables
wisdom,good sense gained from experience and knowledge
withdrawal,the taking of money out of an account; a pulling back
withhold,to refuse to give something that is owed
woe,great sadness; a serious problem or trouble
workforce,all the people employed by a firm or in a country
workplace,the building or area where a person does a job
worksheet,a printed page of tasks and exercises for students
workshop,a class where people learn a skill by doing it; a repair room
worldwide,happening in every part of the planet
worsen,to become or make less good
worthwhile,good enough to deserve the effort or money spent
worthy,deserving respect or support
yearly,happening once every 12 months
yen,the money used in Japan
yuan,the money used in China
