English,Definition
thumb,the short thick finger on the hand
thump,to hit something with a heavy dull sound
thunder,the loud sound heard after lightning
thunderous,extremely loud and rumbling
thus,as a result; in this way
tick,a small correct mark; a small biting insect
tide,the rise and fall of the sea's level
tighten,to make something firmer or less loose
tightly,in a firm and close way
tile,a flat hard piece covering floors or walls
timely,happening at exactly the right moment
tin,a soft light metal; a small metal food container
tiny,very small in size
tire,to make someone feel weak or sleepy
tiring,making someone feel weak or sleepy
tissue,a soft thin paper used to wipe the nose
tobacco,dried leaves smoked in cigarettes
tongue,the soft part inside your mouth used for tasting and speaking
toothpaste,a substance used to clean your teeth
tornado,a violent storm with spinning wind
toss,to throw something lightly
total,complete and including everything; whole
totally,completely; entirely
tourism,the business of people traveling for pleasure
tournament,a series of games to find a winner
trace,a small sign that something existed or happened
tracksuit,loose comfortable clothes worn for sport
traditionally,in the way things have always been done
traffic jam,a long line of cars that cannot move
tragedy,a very sad and shocking event
tragic,very sad and shocking
trail,a path through the countryside or woods
transfer,to move something from one place to another
transform,to change completely into something else
transformation,a complete change from one form to another
transitional,relating to a change from one state to another
translate,to change words into a different language
transport,vehicles used to carry people or goods
transportation,the system used to move people or goods
trash,waste material thrown away
travel agent,a person who arranges trips and holidays for people
treat,something special given to enjoy
treatment,medical care given to someone who is sick
tremble,to shake slightly from fear or cold
tremendous,very large or great
trend,a general direction in which things are changing
trigger,something that causes an event to start
trim,a small cut that makes something neat
triumph,a great success or victory
tropical,relating to the hot regions near the equator
trumpet,a brass musical instrument played by blowing
trustworthy,honest and reliable
tumble,to fall down suddenly
tuna,a large sea fish often eaten canned
turbulence,rough shaking movement of air or water
turning,a place where a road branches off
turtle,a slow animal with a hard shell that lives near water
twin,one of two children born together to the same parents
twist,an unexpected change in a situation or story
typical,showing the usual features of a group; normal
typically,usually; in most cases
unable,not having the power or means to do something
unafraid,not feeling fear
unbelievable,too surprising to be true
uncertainty,a feeling of not being sure
unclear,not easy to understand
uncontrollable,impossible to stop or manage
uncover,to find out something that was hidden
underage,too young by law to do something
undergo,to experience something difficult or important
underneath,directly below something
underpants,a small piece of clothing worn beneath your trousers
undo,to reverse a previous action; to unfasten something
undress,to take off your clothes
unemployed,without a paid job
unemployment,the state of having no paid job
unexpected,surprising; not planned for
unexpectedly,in a surprising way
unfairly,in a way that is not right or just
unfit,not in good physical condition
unfold,to open out something that was closed; to happen gradually
unfortunate,having bad luck; disappointing
unfriendly,not kind or welcoming to others
unheard,never listened to or known before
unify,to join separate parts into one
uninterested,not caring about something; bored by it
uninteresting,boring; not exciting
union,a group of people or things joined together
unique,being the only one of its kind
unite,to join together as one
universe,everything that exists in space
unless,except if; only if not
unlikely,not expected to happen
unlucky,having bad fortune
unpack,to take things out of a bag or box
unpredictable,impossible to know what will happen next
unrelated,having no connection to something else
untidy,messy; not neat
unusually,in a way that is not normal
unwanted,not desired by anyone
unwell,ill; not in good health
update,to add new information to something
uplifted,made to feel happier or more hopeful
upload,to send data to the internet or a server
upper,higher in position; top
up-to-date,modern; including the latest information
upward,moving or pointing toward a higher place
urge,a strong sudden desire to do something
urgent,needing immediate attention
usage,the way something is applied or consumed
used to,did something regularly in the past but not now
useless,having no value or purpose
vacancy,a job or room that is available
vague,not clear or exact in meaning
vain,too proud of your own looks or abilities
valuable,worth a lot of money or very useful
van,a covered vehicle for carrying goods or people
variety,many different kinds of something
various,of several different kinds
vary,to be different from one another; to change slightly
vast,extremely large in size
vegetarian,not eating meat or fish
vehicle,a machine that carries people or goods
vein,a tube inside your body that carries blood to the heart
vessel,a large ship; a container for liquid
vet,a doctor who treats sick animals
via,by way of; through a place
vice,acting as deputy to a leader
vice president,the official second in command after the leader
victim,a person harmed by a crime or accident
victory,a win in a battle game or contest
video clip,a short recording you can watch on a screen
viewpoint,a person's own opinion about something
violence,physical force used to hurt someone
violently,with great physical force
virtual,existing only inside a computer not in real life
virus,a tiny germ that causes illness; harmful computer code
visa,an official stamp allowing entry into a country
visible,able to be seen
vision,the ability to see; an idea of the future
visual,relating to sight
visually,in terms of how something looks
vivid,very bright clear and detailed
vividly,in a bright and detailed way
volcano,a mountain that can explode with hot melted rock
volume,the loudness of a sound; the amount of space something takes up
volunteer,to offer to do something without being paid
vowel,a letter such as a e i o or u
voyage,a long trip by sea
wagon,a cart with wheels pulled by animals
ward,a room in a hospital for patients
wardrobe,a tall cupboard for hanging clothes
warmly,in a kind and friendly way
warmth,a comfortable amount of heat; kindness
warn,to tell someone about possible danger ahead
warning,a message telling someone about possible danger
warranty,a written promise to fix or replace a product
warrior,a person who fights in battles
washbowl,a basin used for cleaning your hands or face
waste,no longer needed; thrown away
wasteful,using too much of something without care
waterfall,a natural stream that drops down a steep cliff
wax,a soft substance used to make candles
weakness,a lack of strength; a fault in character
weapon,an object made to hurt or kill
weather forecast,a prediction of what conditions will be like outside
webcam,a small camera attached to a computer
weird,strange; unusual
well-dressed,wearing nice clothes
westward,toward the west
wetland,an area of land covered in water
whale,a huge animal that lives in the sea
whenever,at any time; every time
wherever,in any place; to any place
whether,used to ask about a choice between things
whichever,any one you choose; no matter which
whisper,a very quiet way of speaking
whistle,a high sound made by blowing air
whoever,any person who; no matter who
widespread,happening in many places at once
wildlife,animals living freely in nature
wildly,in an uncontrolled and excited way
willingness,readiness to help or agree
windscreen,the front window of a car
windsurfing,a water sport using a board and sail
wing,a body part used for flying
wire,a long thin piece of metal
wither,to become dry and shrink (plants)
witness,to see something happen
wizard,excellent (old-fashioned)
working,operating correctly; currently employed
workout,a session of physical exercise
workplace,the place where you have a job
workshop,a class to learn a skill; a room for making things
worn,damaged after long use
worth,having a certain value
worthwhile,good enough to spend time on
worthy,deserving respect or attention
wound,an injury to the body
wrap,a sandwich rolled in flat bread; a piece of clothing for the shoulders
wrapping,paper used to cover a gift
wrist,the joint between the hand and arm
wristwatch,a small clock worn around the arm
written,put into words on paper
yell,a loud shout
yoga,exercise using body poses and breathing
